id,name,host_location,latitude,longitude,bedrooms
12147973,Sunny Bungalow in the City,"Boston, Massachusetts, United States",42.2826188,-71.13306793,2
1436513,Spacious Sunny Bedroom Suite in Historic Home,"Boston, Massachusetts, United States",42.28110619,-71.12102117,1
7651065,Come Home to Boston,"Boston, Massachusetts, United States",42.28451221,-71.13625805,1
12386020,Private Bedroom + Great Coffee,"Boston, Massachusetts, United States",42.2916898,-71.13189277,1
5706985,New Lrg Studio apt 15 min to Boston,"Milton, Massachusetts, United States",42.28138963,-71.13119042,1
2843445,"""Tranquility"" on ""Top of the Hill""","Boston, Massachusetts, United States",42.2819461,-71.14102161,1
753446,6 miles away from downtown Boston!,"Boston, Massachusetts, United States",42.28587764,-71.12490956,1
849408,Perfect & Practical Boston Rental,"Boston, Massachusetts, United States",42.28882028,-71.1395101,2
12023024,Cozy room in a well located house,"Boston, Massachusetts, United States",42.2864482,-71.13932539,1
1668313,Room in Rozzie-Twin Bed-Full Bath,"Roslindale (part of Boston), MA",42.28194183,-71.1333719,1
2684840,"Updated, spacious living in Rozzie","Boston, Massachusetts, United States",42.29172341,-71.13155602,2
13547301,2 Bedroom Apartment in Boston,"Boston, Massachusetts, United States",42.28764103,-71.12988287,2
5434353,Quiet  Beauty in Boston,"Boston, Massachusetts, United States",42.28626474,-71.13706513,2
225979,Cozy Room & Fresh Roasted Coffee,"Boston, Massachusetts, United States",42.28145207,-71.12925004,1
3420384,"Convient, Safe and Comfortable","Boston, Massachusetts, United States",42.27440801,-71.12529404,1
13512930,Roslindale Beauty next to Arboretum,"Boston, Massachusetts, United States",42.29181492,-71.13158793,1
7482195,Private room near bus stop,"Boston, Massachusetts, United States",42.28222476,-71.11518856,1
7252607,Private Room near Public Transport,"Boston, Massachusetts, United States",42.28280175,-71.11514509,1
2583074,Cozy room in a charming villa.,"Boston, Massachusetts, United States",42.27964782,-71.13605873,1
13251243,Arborside Guest Cottage,"Boston, Massachusetts, United States",42.29403534,-71.13223725,0
225834,Skyline View to Boston,"Boston, Massachusetts, United States",42.28052813,-71.13084254,1
6400432,Spacious 3 bedroom cape cod style,"Boston, Massachusetts, United States",42.27838291,-71.1287801,3
5498472,"4BD/3.5BA, Perfect for families!","Boston, Massachusetts, United States",42.27683095,-71.12955974,4
